Calibration


// N (0°)
//   ADC: | Voltage:
ADC: 508.| Voltage: 1.639V.
ADC: 508.| Voltage: 1.639V.
ADC: 510.| Voltage: 1.645V.

// NNW (337.5°)
//   ADC: | Voltage:

ADC: 474.| Voltage: 1.529V.
ADC: 483.| Voltage: 1.558V.
ADC: 477.| Voltage: 1.539V.
ADC: 482.| Voltage: 1.555V.
ADC: 483.| Voltage: 1.558V.
ADC: 481.| Voltage: 1.552V.
ADC: 478.| Voltage: 1.542V.
ADC: 476.| Voltage: 1.535V.


